"groupName","category","policyDisplayName","allowedEffects","defaultEffect","policyId"
"CCCS_AC-17(1)","App Service,App Service,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Storage","App Service apps should have remote debugging turned off,Function apps should have remote debugging turned off,Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Linux machines that allow remote connections from accounts without passwords,Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs,Storage accounts should restrict network access","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:AuditIfNotExists|Disabled,overr:Disabled|AuditIfNotExists|DeployIfNotExists,param:Disabled|Deny|Audit","AuditIfNotExists,AuditIfNotExists,modify,modify,AuditIfNotExists,deployIfNotExists,Audit","cb510bfd-1cba-4d9f-a230-cb0976f4bb71,0e60b895-3786-45da-8377-9c6b4b6ac5f9,3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,ea53dbee-c6c9-4f0e-9f9e-de0039b78023,331e8ea8-378a-410f-a2e5-ae22f38bb0da,34c877ad-507e-4c82-993e-3452a6e0ad3c"
"CCCS_AC-2","Security Center,Security Center,Security Center,Security Center,Security Center","Blocked accounts with owner permissions on Azure resources should be removed,Blocked accounts with read and write permissions on Azure resources should be removed,Guest accounts with owner permissions on Azure resources should be removed,Guest accounts with read permissions on Azure resources should be removed,Guest accounts with write permissions on Azure resources should be removed","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","0cfea604-3201-4e14-88fc-fae4c427a6c5,8d7e1fde-fe26-4b5f-8108-f8e432cbc2be,339353f6-2387-4a45-abe4-7f529d121046,e9ac8f8e-ce22-4355-8f04-99b911d6be52,94e1c2ac-cbbe-4cac-a2b5-389c812dee87"
"CCCS_AC-2(7)","Service Fabric,SQL","Service Fabric clusters should only use Azure Active Directory for client authentication,An Azure Active Directory administrator should be provisioned for SQL servers","param:Disabled|Deny|Audit,overr:AuditIfNotExists|Disabled","Audit,AuditIfNotExists","b54ed75b-3e1a-44ac-a333-05ba39b99ff0,1f314764-cb73-4fc9-b863-8eca98ac36e9"
"CCCS_AC-4","App Service","App Service apps should not have CORS configured to allow every resource to access your apps","overr:AuditIfNotExists|Disabled","AuditIfNotExists","5744710e-cc2f-4ee8-8809-3b11e89f4bc9"
"CCCS_AC-5","Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Security Center,Security Center","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Windows machines missing any of specified members in the Administrators group,Audit Windows machines that have the specified members in the Administrators group,Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,A maximum of 3 owners should be designated for your subscription,There should be more than one owner assigned to your subscription","overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:Disabled|AuditIfNotExists,overr:Disabled|AuditIfNotExists,overr:Disabled|AuditIfNotExists|DeployIfNotExists,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","modify,modify,auditIfNotExists,auditIfNotExists,deployIfNotExists,AuditIfNotExists,AuditIfNotExists","3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,30f71ea1-ac77-4f26-9fc5-2d926bbd4ba7,69bf4abd-ca1e-4cf6-8b5a-762d42e61d4f,385f5831-96d4-41db-9a3c-cd3af78aaae6,4f11b553-d42e-4e3a-89be-32ca364cad4c,09024ccc-0c5f-475e-9457-b7c0d9ed487b"
"CCCS_AC-6","Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Security Center,Security Center","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Windows machines missing any of specified members in the Administrators group,Audit Windows machines that have the specified members in the Administrators group,Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,A maximum of 3 owners should be designated for your subscription,There should be more than one owner assigned to your subscription","overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:Disabled|AuditIfNotExists,overr:Disabled|AuditIfNotExists,overr:Disabled|AuditIfNotExists|DeployIfNotExists,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","modify,modify,auditIfNotExists,auditIfNotExists,deployIfNotExists,AuditIfNotExists,AuditIfNotExists","3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,30f71ea1-ac77-4f26-9fc5-2d926bbd4ba7,69bf4abd-ca1e-4cf6-8b5a-762d42e61d4f,385f5831-96d4-41db-9a3c-cd3af78aaae6,4f11b553-d42e-4e3a-89be-32ca364cad4c,09024ccc-0c5f-475e-9457-b7c0d9ed487b"
"CCCS_AU-12","Monitoring,Monitoring,Monitoring,Monitoring,SQL,SQL,SQL","[Preview]: Log Analytics Extension should be enabled for listed virtual machine images,Audit diagnostic setting for selected resource types,Log Analytics extension should be enabled in virtual machine scale sets for listed virtual machine images,Virtual machines should be connected to a specified workspace,Auditing on SQL server should be enabled,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:AuditIfNotExists|Disabled,overr:Disabled|AuditIfNotExists,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","32133ab0-ee4b-4b44-98d6-042180979d50,7f89b1eb-583c-429a-8828-af049802c1d9,5c3bc7b8-a64c-4e08-a9cd-7ff0f31e1138,f47b5582-33ec-4c5c-87c0-b010a6b2e917,a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"CCCS_AU-3","Monitoring,Monitoring,Monitoring","[Preview]: Log Analytics Extension should be enabled for listed virtual machine images,Log Analytics extension should be enabled in virtual machine scale sets for listed virtual machine images,Virtual machines should be connected to a specified workspace","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","32133ab0-ee4b-4b44-98d6-042180979d50,5c3bc7b8-a64c-4e08-a9cd-7ff0f31e1138,f47b5582-33ec-4c5c-87c0-b010a6b2e917"
"CCCS_AU-5","Monitoring,SQL,SQL,SQL","Audit diagnostic setting for selected resource types,Auditing on SQL server should be enabled,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:Disabled|AuditIfNotExists,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","7f89b1eb-583c-429a-8828-af049802c1d9,a6fb4358-5bf4-4ad7-ba82-2cd2f41ce5e9,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"CCCS_CM-11","Security Center","Adaptive application controls for defining safe applications should be enabled on your machines","overr:AuditIfNotExists|Disabled","AuditIfNotExists","47a6b606-51aa-4496-8bb7-64b11cf66adc"
